B;236109401;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006;;
B;211109400;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;390109403;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;401109400;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;690109400;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;590109401;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;201109402;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;901109405;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;501109409;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;601109408;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;801109406;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;511109407;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;411109408;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;190109405;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;990109407;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;611109406;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;890109408;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;980109409;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;301109401;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;290109404;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;901372409;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;424099406;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;395481500;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;616481503;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;716481502;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;636481509;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;191372408;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;836481507;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;285481503;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;516481504;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;116481508;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;795481506;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;932381502;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;196042501;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;985481506;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;959781501;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;169781507;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;685481509;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;213042500;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;313042509;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;413042508;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;513042507;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;613042506;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;713042505;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;913042503;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;123042509;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;223042508;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;813042504;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;742381502;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;910682509;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;810682500;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;452381502;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;203032503;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;321351504;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;197538408;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;877042507;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;214381501;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;911862506;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;858651508;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;728651506;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;134602507;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;269781506;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;360051502;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;388381501;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;264491507;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;364491506;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;464491505;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;564491504;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;664491503;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;587352501;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;871301503;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;528690506;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;324602507;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;665972501;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;165872508;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;848113502;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;258503507;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;640631503;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;990161507;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;369781505;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;244602504;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;403292501;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;752381509;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;788113504;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;488133505;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;136621505;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;594751505;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;253381503;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;934299405;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;493299408;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;292099405;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;799589403;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;843319401;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;943319400;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;689960508;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;911109403;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;251109401;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;815982509;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;681099404;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;291099406;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;562099408;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;462099409;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;481099406;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;834299406;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;104299409;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;734299407;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;334299401;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;214299406;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;329941504;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;156109407;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;198789406;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;138989405;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;561689407;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;907789408;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;288989403;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;468989405;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;692099401;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;538989401;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;850099409;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;131139404;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
B;214109407;;MULTICONSULT AS, FAKTURAMOTTAK;;;OSLO;0213;;;198;SKØYEN;NOR;;;;;;;;;;;;;;KHL;KHL20.01.2006
