GSM04747238761;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen;
GSM04791717801;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04791717810;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04791761595;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04791779490;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04791788688;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04791823901;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04791882140;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04792072727;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04792206592;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04792212666;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04792401481;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04792405105;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04792416699;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04792443528;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04792462496;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04792467051;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04792489235;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04792489308;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04792489351;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04792626796;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04792645685;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04792855524;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04792866610;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04793041957;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04793231050;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04793840224;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04794288073;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04795135628;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04795159028;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04795230484;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04795856233;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04795977618;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04797036273;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04797036971;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04797063035;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04797122049;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04797158348;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04797714003;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04798494959;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04799483585;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04799503857;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04799787878;CON03;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04740642860;CON10;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04741565656;CON10;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04747842500;CON10;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04748028065;CON10;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04748261593;CON10;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04790127410;CON10;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04790598730;CON10;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04790680002;CON10;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04791341326;CON10;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04791535056;CON10;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04791539843;CON10;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04791745225;CON10;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04792087533;CON10;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04792435989;CON10;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04792460357;CON10;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04792489291;CON10;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04792489427;CON10;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04793088775;CON10;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04795475970;CON10;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04797700631;CON10;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
GSM04798218623;CON10;DELETE;;;NVE 03.06.2011;Ref ny avtale, Stian Olsen
